Variable_Level Variable_Size Variable_Capacity Contribution_0 Contribution_1 Mutability_0 Mutability_1 Mutability_2 Capacity_1 Capacity_2
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.020 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.910 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 2.830 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 1.290 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.010 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 0.996 0.004 15.690 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.010 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.250 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.000 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.020 0.000 0.000 90.000 5.000
2 10 5 1.000 0.000 0.040 0.000 0.000 90.000 5.000
