Variable_Level Variable_Size Variable_Capacity Contribution_0 Contribution_1 Mutability_0 Mutability_1 Mutability_2 Capacity_1 Capacity_2
2 2 1 1.000 0.000 0.300 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.100 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.100 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.200 0.000 0.000 10.000 1.000
2 2 1 0.999 0.001 6.990 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.700 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 1.800 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 1.300 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 1.200 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.200 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 3.200 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 1.500 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.100 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.700 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.100 0.000 0.000 10.000 1.000
2 2 1 0.999 0.001 8.370 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.900 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.890 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.310 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 3.500 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.910 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.300 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 1.810 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 1.410 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.400 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 3.090 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 3.300 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 2.500 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 1.110 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 2.700 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.300 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.200 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.710 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.300 0.000 0.000 10.000 1.000
2 2 1 0.999 0.001 6.920 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 2.980 0.000 0.000 10.000 1.000
2 2 1 0.999 0.001 6.270 0.000 0.000 10.000 1.000
2 2 1 0.999 0.001 6.520 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.100 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 1.700 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 0.999 0.001 3.480 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.300 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 0.999 0.001 5.360 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.300 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.880 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.800 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 3.780 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 1.110 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 1.010 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.820 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 2.190 0.000 0.000 10.000 1.000
2 2 1 0.999 0.001 4.310 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 0.999 0.001 8.400 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.710 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.200 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 1.500 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.700 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 5.090 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.310 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.300 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.100 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.200 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.100 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.500 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.200 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.100 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 1.130 0.000 0.000 10.000 1.000
2 2 1 0.999 0.001 5.170 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 2.480 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 2 1 0.999 0.001 9.620 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 4.510 0.000 0.000 10.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 10.000 1.000
2 4 2 0.999 0.001 3.100 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 9.450 0.000 0.000 10.000 2.000
2 4 2 0.996 0.004 18.830 0.000 0.000 10.000 2.000
2 4 2 0.991 0.009 33.160 0.000 0.000 10.000 2.000
2 4 2 1.000 0.000 1.600 0.000 0.000 10.000 2.000
2 4 2 1.000 0.000 1.470 0.000 0.000 10.000 2.000
2 4 2 1.000 0.000 2.910 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 10.220 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 7.540 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 9.290 0.000 0.000 10.000 2.000
2 4 2 0.994 0.006 32.540 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 14.790 0.000 0.000 10.000 2.000
2 4 2 0.997 0.003 20.640 0.000 0.000 10.000 2.000
2 4 2 0.928 0.050 15.460 0.000 0.000 10.000 2.000
2 4 2 0.997 0.003 19.340 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 10.150 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 10.590 0.000 0.000 10.000 2.000
2 4 2 0.988 0.012 31.680 0.000 0.000 10.000 2.000
2 4 2 1.000 0.000 1.400 0.000 0.000 10.000 2.000
2 4 2 0.997 0.003 12.800 0.000 0.000 10.000 2.000
2 4 2 0.992 0.008 15.750 0.000 0.000 10.000 2.000
2 4 2 0.997 0.003 10.530 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 12.750 0.000 0.000 10.000 2.000
2 4 2 1.000 0.000 0.300 0.000 0.000 10.000 2.000
2 4 2 0.992 0.008 29.060 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 10.570 0.000 0.000 10.000 2.000
2 4 2 1.000 0.000 0.600 0.000 0.000 10.000 2.000
2 4 2 0.997 0.003 23.420 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 5.830 0.000 0.000 10.000 2.000
2 4 2 0.996 0.004 33.460 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 7.030 0.000 0.000 10.000 2.000
2 4 2 0.994 0.006 22.050 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 20.140 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 6.630 0.000 0.000 10.000 2.000
2 4 2 1.000 0.000 4.410 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 5.370 0.000 0.000 10.000 2.000
2 4 2 0.997 0.003 18.490 0.000 0.000 10.000 2.000
2 4 2 0.987 0.013 34.360 0.000 0.000 10.000 2.000
2 4 2 1.000 0.000 0.710 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 3.460 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 11.830 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 15.370 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 12.400 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 10.850 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 8.030 0.000 0.000 10.000 2.000
2 4 2 0.997 0.003 17.320 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 7.470 0.000 0.000 10.000 2.000
2 4 2 0.994 0.006 18.600 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 11.290 0.000 0.000 10.000 2.000
2 4 2 0.995 0.005 20.730 0.000 0.000 10.000 2.000
2 4 2 0.994 0.006 38.150 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 8.920 0.000 0.000 10.000 2.000
2 4 2 0.991 0.009 30.600 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 5.990 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 5.390 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 13.540 0.000 0.000 10.000 2.000
2 4 2 0.995 0.005 27.060 0.000 0.000 10.000 2.000
2 4 2 0.996 0.004 30.490 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 20.420 0.000 0.000 10.000 2.000
2 4 2 0.997 0.003 21.430 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 6.070 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 8.870 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 5.370 0.000 0.000 10.000 2.000
2 4 2 0.996 0.004 15.550 0.000 0.000 10.000 2.000
2 4 2 1.000 0.000 0.100 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 7.720 0.000 0.000 10.000 2.000
2 4 2 0.994 0.006 22.700 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 8.170 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 8.560 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 18.890 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 13.360 0.000 0.000 10.000 2.000
2 4 2 0.996 0.004 34.640 0.000 0.000 10.000 2.000
2 4 2 0.996 0.004 25.370 0.000 0.000 10.000 2.000
2 4 2 0.996 0.004 20.300 0.000 0.000 10.000 2.000
2 4 2 0.991 0.009 36.320 0.000 0.000 10.000 2.000
2 4 2 0.997 0.003 17.200 0.000 0.000 10.000 2.000
2 4 2 0.894 0.093 22.310 0.000 0.000 10.000 2.000
2 4 2 0.997 0.003 17.960 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 10.790 0.000 0.000 10.000 2.000
2 4 2 0.995 0.005 30.330 0.000 0.000 10.000 2.000
2 4 2 0.992 0.008 41.400 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 10.500 0.000 0.000 10.000 2.000
2 4 2 0.994 0.006 19.700 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 20.940 0.000 0.000 10.000 2.000
2 4 2 0.997 0.003 27.300 0.000 0.000 10.000 2.000
2 4 2 0.995 0.005 39.030 0.000 0.000 10.000 2.000
2 4 2 0.997 0.003 25.570 0.000 0.000 10.000 2.000
2 4 2 1.000 0.000 0.000 0.000 0.000 10.000 2.000
2 4 2 1.000 0.000 3.690 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 9.410 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 15.490 0.000 0.000 10.000 2.000
2 4 2 0.939 0.051 13.200 0.000 0.000 10.000 2.000
2 4 2 0.997 0.003 13.490 0.000 0.000 10.000 2.000
2 4 2 1.000 0.000 2.230 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 12.870 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 11.290 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 12.860 0.000 0.000 10.000 2.000
2 4 2 0.999 0.001 6.180 0.000 0.000 10.000 2.000
2 4 2 1.000 0.000 0.900 0.000 0.000 10.000 2.000
2 4 2 0.998 0.002 11.930 0.000 0.000 10.000 2.000
2 6 3 0.854 0.120 29.260 0.000 0.000 10.000 3.000
2 6 3 0.809 0.148 33.610 0.000 0.000 10.000 3.000
2 6 3 0.899 0.087 32.970 0.000 0.000 10.000 3.000
2 6 3 0.869 0.109 37.660 0.000 0.000 10.000 3.000
2 6 3 0.987 0.013 40.230 0.000 0.000 10.000 3.000
2 6 3 0.892 0.065 14.020 0.000 0.000 10.000 3.000
2 6 3 0.988 0.012 30.740 0.000 0.000 10.000 3.000
2 6 3 0.983 0.017 18.760 0.000 0.000 10.000 3.000
2 6 3 0.902 0.076 28.090 0.000 0.000 10.000 3.000
2 6 3 0.853 0.121 31.480 0.000 0.000 10.000 3.000
2 6 3 0.924 0.055 13.590 0.000 0.000 10.000 3.000
2 6 3 0.886 0.086 25.990 0.000 0.000 10.000 3.000
2 6 3 0.870 0.084 22.270 0.000 0.000 10.000 3.000
2 6 3 0.945 0.050 15.970 0.000 0.000 10.000 3.000
2 6 3 0.980 0.020 33.490 0.000 0.000 10.000 3.000
2 6 3 0.926 0.067 23.330 0.000 0.000 10.000 3.000
2 6 3 0.919 0.061 17.560 0.000 0.000 10.000 3.000
2 6 3 0.916 0.059 12.560 0.000 0.000 10.000 3.000
2 6 3 0.928 0.053 24.020 0.000 0.000 10.000 3.000
2 6 3 0.907 0.079 28.780 0.000 0.000 10.000 3.000
2 6 3 0.839 0.116 27.250 0.000 0.000 10.000 3.000
2 6 3 0.997 0.003 11.650 0.000 0.000 10.000 3.000
2 6 3 0.951 0.044 19.930 0.000 0.000 10.000 3.000
2 6 3 0.928 0.042 9.910 0.000 0.000 10.000 3.000
2 6 3 0.968 0.032 22.100 0.000 0.000 10.000 3.000
2 6 3 0.905 0.059 11.320 0.000 0.000 10.000 3.000
2 6 3 0.871 0.094 28.210 0.000 0.000 10.000 3.000
2 6 3 0.995 0.005 25.800 0.000 0.000 10.000 3.000
2 6 3 0.755 0.185 44.480 0.000 0.000 10.000 3.000
2 6 3 0.854 0.131 41.810 0.000 0.000 10.000 3.000
2 6 3 0.891 0.089 21.220 0.000 0.000 10.000 3.000
2 6 3 0.825 0.144 35.750 0.000 0.000 10.000 3.000
2 6 3 0.819 0.121 24.200 0.000 0.000 10.000 3.000
2 6 3 0.882 0.103 27.610 0.000 0.000 10.000 3.000
2 6 3 0.904 0.072 20.740 0.000 0.000 10.000 3.000
2 6 3 0.872 0.086 20.520 0.000 0.000 10.000 3.000
2 6 3 0.932 0.042 9.900 0.000 0.000 10.000 3.000
2 6 3 0.971 0.029 32.640 0.000 0.000 10.000 3.000
2 6 3 0.997 0.003 13.310 0.000 0.000 10.000 3.000
2 6 3 0.909 0.074 19.950 0.000 0.000 10.000 3.000
2 6 3 0.832 0.118 34.380 0.000 0.000 10.000 3.000
2 6 3 0.907 0.079 26.190 0.000 0.000 10.000 3.000
2 6 3 0.879 0.098 28.590 0.000 0.000 10.000 3.000
2 6 3 0.882 0.096 32.230 0.000 0.000 10.000 3.000
2 6 3 0.937 0.054 20.430 0.000 0.000 10.000 3.000
2 6 3 0.821 0.128 26.850 0.000 0.000 10.000 3.000
2 6 3 0.981 0.011 3.930 0.000 0.000 10.000 3.000
2 6 3 0.819 0.159 41.880 0.000 0.000 10.000 3.000
2 6 3 0.921 0.058 15.710 0.000 0.000 10.000 3.000
2 6 3 0.905 0.067 16.130 0.000 0.000 10.000 3.000
2 6 3 0.812 0.140 31.080 0.000 0.000 10.000 3.000
2 6 3 0.846 0.132 48.430 0.000 0.000 10.000 3.000
2 6 3 0.909 0.069 24.680 0.000 0.000 10.000 3.000
2 6 3 0.820 0.145 32.620 0.000 0.000 10.000 3.000
2 6 3 0.871 0.114 38.570 0.000 0.000 10.000 3.000
2 6 3 0.889 0.085 27.260 0.000 0.000 10.000 3.000
2 6 3 0.910 0.058 14.680 0.000 0.000 10.000 3.000
2 6 3 0.875 0.105 35.750 0.000 0.000 10.000 3.000
2 6 3 0.826 0.127 37.810 0.000 0.000 10.000 3.000
2 6 3 0.914 0.056 18.000 0.000 0.000 10.000 3.000
2 6 3 0.828 0.137 34.140 0.000 0.000 10.000 3.000
2 6 3 0.904 0.087 27.970 0.000 0.000 10.000 3.000
2 6 3 0.860 0.107 25.360 0.000 0.000 10.000 3.000
2 6 3 0.848 0.107 34.650 0.000 0.000 10.000 3.000
2 6 3 0.829 0.121 28.420 0.000 0.000 10.000 3.000
2 6 3 0.887 0.094 26.530 0.000 0.000 10.000 3.000
2 6 3 0.974 0.026 30.170 0.000 0.000 10.000 3.000
2 6 3 0.922 0.054 14.700 0.000 0.000 10.000 3.000
2 6 3 0.984 0.016 43.160 0.000 0.000 10.000 3.000
2 6 3 0.939 0.048 21.720 0.000 0.000 10.000 3.000
2 6 3 0.991 0.009 7.530 0.000 0.000 10.000 3.000
2 6 3 0.871 0.091 20.130 0.000 0.000 10.000 3.000
2 6 3 0.902 0.081 25.740 0.000 0.000 10.000 3.000
2 6 3 0.993 0.007 28.810 0.000 0.000 10.000 3.000
2 6 3 0.887 0.100 33.080 0.000 0.000 10.000 3.000
2 6 3 0.942 0.047 16.140 0.000 0.000 10.000 3.000
2 6 3 0.948 0.042 13.520 0.000 0.000 10.000 3.000
2 6 3 0.898 0.085 21.230 0.000 0.000 10.000 3.000
2 6 3 0.994 0.006 26.720 0.000 0.000 10.000 3.000
2 6 3 0.877 0.101 25.550 0.000 0.000 10.000 3.000
2 6 3 0.918 0.067 34.910 0.000 0.000 10.000 3.000
2 6 3 0.829 0.092 29.100 0.000 0.000 10.000 3.000
2 6 3 0.794 0.166 46.670 0.000 0.000 10.000 3.000
2 6 3 0.965 0.035 22.800 0.000 0.000 10.000 3.000
2 6 3 0.873 0.115 41.390 0.000 0.000 10.000 3.000
2 6 3 0.903 0.084 29.310 0.000 0.000 10.000 3.000
2 6 3 0.786 0.163 37.860 0.000 0.000 10.000 3.000
2 6 3 0.856 0.119 25.910 0.000 0.000 10.000 3.000
2 6 3 0.871 0.105 21.390 0.000 0.000 10.000 3.000
2 6 3 0.849 0.112 27.870 0.000 0.000 10.000 3.000
2 6 3 0.907 0.066 15.310 0.000 0.000 10.000 3.000
2 6 3 0.820 0.126 31.600 0.000 0.000 10.000 3.000
2 6 3 0.848 0.127 46.920 0.000 0.000 10.000 3.000
2 6 3 0.836 0.154 48.500 0.000 0.000 10.000 3.000
2 6 3 0.918 0.080 34.730 0.000 0.000 10.000 3.000
2 6 3 0.933 0.059 20.690 0.000 0.000 10.000 3.000
2 6 3 0.845 0.112 27.580 0.000 0.000 10.000 3.000
2 6 3 0.871 0.081 20.020 0.000 0.000 10.000 3.000
2 6 3 0.964 0.034 15.600 0.000 0.000 10.000 3.000
2 6 3 0.923 0.063 23.460 0.000 0.000 10.000 3.000
2 8 4 0.929 0.049 14.360 0.000 0.000 10.000 4.000
2 8 4 0.877 0.101 29.270 0.000 0.000 10.000 4.000
2 8 4 0.895 0.102 43.140 0.000 0.000 10.000 4.000
2 8 4 0.884 0.092 27.180 0.000 0.000 10.000 4.000
2 8 4 0.881 0.100 24.570 0.000 0.000 10.000 4.000
2 8 4 0.910 0.070 21.530 0.000 0.000 10.000 4.000
2 8 4 0.843 0.107 27.880 0.000 0.000 10.000 4.000
2 8 4 0.824 0.151 41.590 0.000 0.000 10.000 4.000
2 8 4 0.844 0.116 29.590 0.000 0.000 10.000 4.000
2 8 4 0.829 0.136 34.700 0.000 0.000 10.000 4.000
2 8 4 0.869 0.109 28.170 0.000 0.000 10.000 4.000
2 8 4 0.813 0.146 35.750 0.000 0.000 10.000 4.000
2 8 4 0.856 0.117 33.990 0.000 0.000 10.000 4.000
2 8 4 0.901 0.075 18.890 0.000 0.000 10.000 4.000
2 8 4 0.844 0.133 40.890 0.000 0.000 10.000 4.000
2 8 4 0.847 0.113 29.500 0.000 0.000 10.000 4.000
2 8 4 0.837 0.114 25.400 0.000 0.000 10.000 4.000
2 8 4 0.824 0.157 42.780 0.000 0.000 10.000 4.000
2 8 4 0.931 0.047 13.320 0.000 0.000 10.000 4.000
2 8 4 0.899 0.058 16.590 0.000 0.000 10.000 4.000
2 8 4 0.872 0.104 32.060 0.000 0.000 10.000 4.000
2 8 4 0.813 0.137 32.650 0.000 0.000 10.000 4.000
2 8 4 0.928 0.053 13.610 0.000 0.000 10.000 4.000
2 8 4 0.902 0.064 16.780 0.000 0.000 10.000 4.000
2 8 4 0.865 0.096 26.630 0.000 0.000 10.000 4.000
2 8 4 0.790 0.159 40.060 0.000 0.000 10.000 4.000
2 8 4 0.938 0.047 12.050 0.000 0.000 10.000 4.000
2 8 4 0.826 0.139 35.160 0.000 0.000 10.000 4.000
2 8 4 0.888 0.095 25.390 0.000 0.000 10.000 4.000
