Variable_Level Variable_Size Variable_Capacity Contribution_0 Contribution_1 Mutability_0 Mutability_1 Mutability_2 Capacity_1 Capacity_2
2 24 1 0.995 0.005 50.909 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 29.273 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 44.182 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 55.818 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 14.000 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 87.727 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 57.727 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 61.364 0.000 0.000 1.000 1.000
2 24 1 0.991 0.009 49.000 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 58.364 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 41.909 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 55.909 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 20.909 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 49.091 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 47.182 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 47.091 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 19.000 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 62.091 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 41.273 0.000 0.000 1.000 1.000
2 24 1 0.991 0.009 87.545 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 35.727 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 9.909 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 26.909 0.000 0.000 1.000 1.000
2 24 1 0.999 0.001 7.000 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 33.000 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 41.000 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 23.909 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 67.818 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 41.000 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 22.909 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 48.364 0.000 0.000 1.000 1.000
2 24 1 0.992 0.008 39.909 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 32.000 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 39.091 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 42.364 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 21.909 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 57.182 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 37.818 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 27.091 0.000 0.000 1.000 1.000
2 24 1 0.991 0.009 84.273 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 50.182 0.000 0.000 1.000 1.000
2 24 1 0.999 0.001 7.091 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 36.091 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 34.182 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 32.909 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 32.000 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 13.909 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 40.000 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 34.091 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 56.909 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 30.000 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 36.636 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 60.273 0.000 0.000 1.000 1.000
2 24 1 0.992 0.008 82.000 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 48.818 0.000 0.000 1.000 1.000
2 24 1 0.989 0.011 49.000 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 58.909 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 46.818 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 42.091 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 19.909 0.000 0.000 1.000 1.000
2 24 1 0.992 0.008 78.818 0.000 0.000 1.000 1.000
2 24 1 0.992 0.008 84.455 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 27.909 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 42.091 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 54.000 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 74.091 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 88.182 0.000 0.000 1.000 1.000
2 24 1 0.999 0.001 13.091 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 51.909 0.000 0.000 1.000 1.000
2 24 1 0.991 0.009 58.091 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 22.000 0.000 0.000 1.000 1.000
2 24 1 0.992 0.008 32.000 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 27.091 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 41.364 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 14.909 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 31.727 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 68.091 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 56.273 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 61.727 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 20.000 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 29.000 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 32.909 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 69.545 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 36.091 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 28.909 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 67.818 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 43.455 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 33.364 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 55.727 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 14.000 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 29.909 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 63.727 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 24.091 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 33.909 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 20.909 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 39.818 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 25.091 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 23.182 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 26.909 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 45.000 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 21.818 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 47.909 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 68.000 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 39.909 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 40.818 0.000 0.000 1.000 1.000
2 24 1 0.991 0.009 63.000 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 32.182 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 40.000 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 42.091 0.000 0.000 1.000 1.000
2 24 1 0.981 0.019 46.818 0.000 0.000 1.000 1.000
2 24 1 0.991 0.009 93.364 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 96.909 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 41.636 0.000 0.000 1.000 1.000
2 24 1 0.991 0.009 90.364 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 53.091 0.000 0.000 1.000 1.000
2 24 1 0.991 0.009 85.818 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 25.364 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 66.818 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 24.091 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 42.091 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 40.727 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 57.909 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 83.364 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 59.091 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 43.000 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 41.091 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 16.909 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 11.909 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 38.000 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 22.000 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 45.000 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 32.091 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 21.818 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 40.909 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 59.091 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 50.000 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 23.727 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 32.636 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 31.909 0.000 0.000 1.000 1.000
2 24 1 0.989 0.011 62.818 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 38.909 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 32.455 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 65.273 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 29.091 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 11.091 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 27.909 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 38.182 0.000 0.000 1.000 1.000
2 24 1 0.999 0.001 10.000 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 38.909 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 61.091 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 29.909 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 29.091 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 43.091 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 60.455 0.000 0.000 1.000 1.000
2 24 1 0.991 0.009 63.091 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 96.000 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 32.818 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 55.000 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 60.182 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 35.818 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 88.182 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 55.182 0.000 0.000 1.000 1.000
2 24 1 0.991 0.009 87.818 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 25.909 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 26.182 0.000 0.000 1.000 1.000
2 24 1 0.999 0.001 7.818 0.000 0.000 1.000 1.000
2 24 1 0.999 0.001 2.000 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 55.091 0.000 0.000 1.000 1.000
2 24 1 0.986 0.014 65.909 0.000 0.000 1.000 1.000
2 24 1 0.992 0.008 61.182 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 39.000 0.000 0.000 1.000 1.000
2 24 1 0.991 0.009 39.091 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 42.182 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 19.909 0.000 0.000 1.000 1.000
2 24 1 0.993 0.007 67.818 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 19.000 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 37.818 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 55.818 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 43.000 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 10.000 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 50.273 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 53.909 0.000 0.000 1.000 1.000
2 24 1 0.990 0.010 78.182 0.000 0.000 1.000 1.000
2 24 1 0.984 0.016 60.909 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 36.909 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 22.000 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 27.727 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 45.818 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 30.091 0.000 0.000 1.000 1.000
2 24 1 0.994 0.006 61.273 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 41.273 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 39.818 0.000 0.000 1.000 1.000
2 24 1 0.998 0.002 15.182 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 36.091 0.000 0.000 1.000 1.000
2 24 1 0.997 0.003 30.091 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 34.000 0.000 0.000 1.000 1.000
2 24 1 0.995 0.005 59.091 0.000 0.000 1.000 1.000
2 24 1 0.989 0.011 59.909 0.000 0.000 1.000 1.000
2 24 1 0.996 0.004 30.909 0.000 0.000 1.000 1.000
2 24 1 0.992 0.008 87.455 0.000 0.000 1.000 1.000
