Variable_Level Variable_Size Variable_Capacity Contribution_0 Contribution_1 Mutability_0 Mutability_1 Mutability_2 Capacity_1 Capacity_2
1 6 6 0.485 0.515 48.833 0.000 0.000 6.000 5.000
1 6 6 0.467 0.533 49.833 0.000 0.000 6.000 5.000
1 6 6 0.447 0.553 49.000 0.000 0.000 6.000 5.000
1 6 6 0.428 0.572 49.167 0.000 0.000 6.000 5.000
1 6 6 0.410 0.590 49.000 0.000 0.000 6.000 5.000
1 6 6 0.391 0.609 50.167 0.000 0.000 6.000 5.000
1 6 6 0.366 0.634 48.833 0.000 0.000 6.000 5.000
1 6 6 0.342 0.658 47.500 0.000 0.000 6.000 5.000
1 6 6 0.321 0.679 46.000 0.000 0.000 6.000 5.000
1 6 6 0.295 0.705 48.500 0.000 0.000 6.000 5.000
