Variable_Level Variable_Size Variable_Capacity Contribution_0 Contribution_1 Mutability_0 Mutability_1 Mutability_2 Capacity_1 Capacity_2
1 100 2 0.614 0.355 90.500 0.000 0.000 2.000 50.000
1 100 2 0.638 0.351 91.990 0.000 0.000 2.000 50.000
1 100 2 0.630 0.360 95.150 0.000 0.000 2.000 50.000
1 100 2 0.638 0.333 78.460 0.000 0.000 2.000 50.000
1 100 2 0.647 0.339 91.100 0.000 0.000 2.000 50.000
1 100 2 0.586 0.402 91.000 0.000 0.000 2.000 50.000
1 100 2 0.607 0.371 86.500 0.000 0.000 2.000 50.000
1 100 2 0.648 0.346 93.960 0.000 0.000 2.000 50.000
1 100 2 0.627 0.351 80.720 0.000 0.000 2.000 50.000
1 100 2 0.633 0.354 97.020 0.000 0.000 2.000 50.000
1 100 2 0.630 0.355 86.050 0.000 0.000 2.000 50.000
1 100 2 0.670 0.322 92.970 0.000 0.000 2.000 50.000
1 100 2 0.627 0.361 90.080 0.000 0.000 2.000 50.000
1 100 2 0.664 0.331 92.000 0.000 0.000 2.000 50.000
1 100 2 0.642 0.347 89.470 0.000 0.000 2.000 50.000
1 100 2 0.593 0.393 90.450 0.000 0.000 2.000 50.000
1 100 2 0.646 0.346 95.790 0.000 0.000 2.000 50.000
1 100 2 0.627 0.358 93.140 0.000 0.000 2.000 50.000
1 100 2 0.613 0.370 92.030 0.000 0.000 2.000 50.000
1 100 2 0.649 0.340 94.030 0.000 0.000 2.000 50.000
1 100 2 0.624 0.364 96.110 0.000 0.000 2.000 50.000
1 100 2 0.641 0.348 92.040 0.000 0.000 2.000 50.000
1 100 2 0.615 0.362 95.040 0.000 0.000 2.000 50.000
1 100 2 0.648 0.335 94.130 0.000 0.000 2.000 50.000
1 100 2 0.620 0.361 94.680 0.000 0.000 2.000 50.000
1 100 2 0.627 0.359 95.100 0.000 0.000 2.000 50.000
1 100 2 0.606 0.377 93.070 0.000 0.000 2.000 50.000
1 100 2 0.664 0.328 94.100 0.000 0.000 2.000 50.000
1 100 2 0.625 0.365 98.090 0.000 0.000 2.000 50.000
1 100 2 0.637 0.351 93.450 0.000 0.000 2.000 50.000
1 100 2 0.617 0.369 93.840 0.000 0.000 2.000 50.000
1 100 2 0.609 0.379 96.170 0.000 0.000 2.000 50.000
1 100 2 0.656 0.334 96.990 0.000 0.000 2.000 50.000
1 100 2 0.643 0.343 90.470 0.000 0.000 2.000 50.000
1 100 2 0.653 0.336 93.000 0.000 0.000 2.000 50.000
1 100 2 0.632 0.354 89.920 0.000 0.000 2.000 50.000
1 100 2 0.611 0.370 93.040 0.000 0.000 2.000 50.000
1 100 2 0.599 0.383 88.850 0.000 0.000 2.000 50.000
1 100 2 0.633 0.344 80.020 0.000 0.000 2.000 50.000
1 100 2 0.638 0.351 87.870 0.000 0.000 2.000 50.000
1 100 2 0.636 0.345 90.440 0.000 0.000 2.000 50.000
1 100 2 0.626 0.367 92.950 0.000 0.000 2.000 50.000
1 100 2 0.600 0.383 89.160 0.000 0.000 2.000 50.000
1 100 2 0.645 0.344 95.950 0.000 0.000 2.000 50.000
1 100 2 0.657 0.338 92.450 0.000 0.000 2.000 50.000
1 100 2 0.635 0.355 86.910 0.000 0.000 2.000 50.000
1 100 2 0.637 0.354 92.080 0.000 0.000 2.000 50.000
1 100 2 0.631 0.357 94.500 0.000 0.000 2.000 50.000
1 100 2 0.637 0.347 92.990 0.000 0.000 2.000 50.000
1 100 2 0.619 0.365 95.900 0.000 0.000 2.000 50.000
1 100 2 0.593 0.383 85.060 0.000 0.000 2.000 50.000
1 100 2 0.649 0.344 96.330 0.000 0.000 2.000 50.000
1 100 2 0.645 0.343 90.470 0.000 0.000 2.000 50.000
1 100 2 0.651 0.340 91.600 0.000 0.000 2.000 50.000
1 100 2 0.625 0.359 92.130 0.000 0.000 2.000 50.000
1 100 2 0.628 0.356 89.990 0.000 0.000 2.000 50.000
1 100 2 0.641 0.348 92.920 0.000 0.000 2.000 50.000
1 100 2 0.657 0.335 90.890 0.000 0.000 2.000 50.000
1 100 2 0.620 0.369 93.510 0.000 0.000 2.000 50.000
1 100 2 0.618 0.364 91.090 0.000 0.000 2.000 50.000
1 100 2 0.634 0.345 82.900 0.000 0.000 2.000 50.000
1 100 2 0.600 0.381 89.020 0.000 0.000 2.000 50.000
1 100 2 0.625 0.362 94.030 0.000 0.000 2.000 50.000
1 100 2 0.615 0.371 90.030 0.000 0.000 2.000 50.000
1 100 2 0.577 0.408 93.820 0.000 0.000 2.000 50.000
1 100 2 0.643 0.341 88.620 0.000 0.000 2.000 50.000
1 100 2 0.627 0.360 96.400 0.000 0.000 2.000 50.000
1 100 2 0.648 0.341 89.090 0.000 0.000 2.000 50.000
1 100 2 0.619 0.369 92.010 0.000 0.000 2.000 50.000
1 100 2 0.605 0.377 95.970 0.000 0.000 2.000 50.000
1 100 2 0.598 0.385 88.530 0.000 0.000 2.000 50.000
1 100 2 0.604 0.383 92.030 0.000 0.000 2.000 50.000
1 100 2 0.613 0.377 90.440 0.000 0.000 2.000 50.000
1 100 2 0.636 0.339 90.030 0.000 0.000 2.000 50.000
1 100 2 0.612 0.374 95.630 0.000 0.000 2.000 50.000
1 100 2 0.576 0.402 89.570 0.000 0.000 2.000 50.000
1 100 2 0.628 0.361 89.030 0.000 0.000 2.000 50.000
1 100 2 0.613 0.372 91.100 0.000 0.000 2.000 50.000
1 100 2 0.617 0.368 86.870 0.000 0.000 2.000 50.000
1 100 2 0.660 0.329 92.920 0.000 0.000 2.000 50.000
1 100 2 0.642 0.349 93.170 0.000 0.000 2.000 50.000
1 100 2 0.644 0.347 88.020 0.000 0.000 2.000 50.000
1 100 2 0.576 0.399 83.420 0.000 0.000 2.000 50.000
1 100 2 0.642 0.346 88.910 0.000 0.000 2.000 50.000
1 100 2 0.624 0.365 95.960 0.000 0.000 2.000 50.000
1 100 2 0.602 0.385 93.610 0.000 0.000 2.000 50.000
1 100 2 0.619 0.367 94.120 0.000 0.000 2.000 50.000
1 100 2 0.643 0.348 89.510 0.000 0.000 2.000 50.000
1 100 2 0.576 0.410 95.040 0.000 0.000 2.000 50.000
1 100 2 0.623 0.367 91.570 0.000 0.000 2.000 50.000
1 100 2 0.640 0.349 91.600 0.000 0.000 2.000 50.000
1 100 2 0.641 0.341 85.640 0.000 0.000 2.000 50.000
1 100 2 0.634 0.352 93.940 0.000 0.000 2.000 50.000
1 100 2 0.641 0.348 92.240 0.000 0.000 2.000 50.000
1 100 2 0.641 0.344 95.040 0.000 0.000 2.000 50.000
1 100 2 0.627 0.362 88.450 0.000 0.000 2.000 50.000
1 100 2 0.598 0.384 94.000 0.000 0.000 2.000 50.000
1 100 2 0.609 0.372 93.070 0.000 0.000 2.000 50.000
1 100 2 0.582 0.405 92.950 0.000 0.000 2.000 50.000
1 100 2 0.626 0.359 95.090 0.000 0.000 2.000 50.000
1 100 4 0.650 0.329 84.700 0.000 0.000 4.000 50.000
1 100 4 0.646 0.332 85.970 0.000 0.000 4.000 50.000
1 100 4 0.643 0.326 80.180 0.000 0.000 4.000 50.000
1 100 4 0.666 0.313 83.470 0.000 0.000 4.000 50.000
1 100 4 0.633 0.343 82.060 0.000 0.000 4.000 50.000
1 100 4 0.634 0.346 91.110 0.000 0.000 4.000 50.000
1 100 4 0.658 0.322 84.550 0.000 0.000 4.000 50.000
1 100 4 0.650 0.329 85.330 0.000 0.000 4.000 50.000
1 100 4 0.643 0.340 87.980 0.000 0.000 4.000 50.000
1 100 4 0.619 0.355 83.190 0.000 0.000 4.000 50.000
1 100 4 0.655 0.326 86.210 0.000 0.000 4.000 50.000
1 100 4 0.663 0.311 82.010 0.000 0.000 4.000 50.000
1 100 4 0.635 0.341 83.560 0.000 0.000 4.000 50.000
1 100 4 0.636 0.337 81.800 0.000 0.000 4.000 50.000
1 100 4 0.653 0.323 82.130 0.000 0.000 4.000 50.000
1 100 4 0.659 0.318 83.400 0.000 0.000 4.000 50.000
1 100 4 0.655 0.329 84.870 0.000 0.000 4.000 50.000
1 100 4 0.652 0.324 80.280 0.000 0.000 4.000 50.000
1 100 4 0.679 0.307 85.940 0.000 0.000 4.000 50.000
1 100 4 0.659 0.327 83.020 0.000 0.000 4.000 50.000
1 100 4 0.654 0.322 80.800 0.000 0.000 4.000 50.000
1 100 4 0.666 0.317 84.120 0.000 0.000 4.000 50.000
1 100 4 0.668 0.311 81.750 0.000 0.000 4.000 50.000
